GaugeID, Lat, Lon, Start Time (UTC), End Time (UTC), Peak Q (cms), Peak Time (UTC), Delta Time (h)
07375800,30.930556,-90.673333,2002-03-27 10:00:00,2002-03-28 03:30:00,74.1901,2002-03-27 14:00:00,4.0000
07375800,30.930556,-90.673333,2002-09-26 19:00:00,2002-09-28 05:00:00,121.4793,2002-09-27 09:00:00,14.0000
07375800,30.930556,-90.673333,2002-10-04 23:30:00,2002-10-05 04:30:00,58.6159,2002-10-05 01:30:00,2.0000
07375800,30.930556,-90.673333,2003-02-22 09:30:00,2003-02-23 15:45:00,98.8258,2003-02-22 21:00:00,11.5000
07375800,30.930556,-90.673333,2004-02-07 05:00:00,2004-02-07 19:00:00,60.8812,2004-02-07 08:00:00,3.0000
07375800,30.930556,-90.673333,2004-02-12 16:30:00,2004-02-13 21:00:00,80.7030,2004-02-13 06:45:00,14.2500
07375800,30.930556,-90.673333,2004-05-15 11:30:00,2004-05-17 02:30:00,197.0853,2004-05-15 21:30:00,10.0000
07375800,30.930556,-90.673333,2006-10-27 21:30:00,2006-10-28 20:30:00,75.6060,2006-10-28 07:30:00,10.0000
07375800,30.930556,-90.673333,2007-01-01 00:00:00,2007-01-01 09:30:00,57.7664,2007-01-01 02:30:00,2.5000
07375800,30.930556,-90.673333,2009-03-27 15:30:00,2009-03-30 01:00:00,300.1586,2009-03-28 20:00:00,28.5000
07375800,30.930556,-90.673333,2009-12-13 14:30:00,2009-12-14 07:00:00,67.9604,2009-12-13 20:00:00,5.5000
07375800,30.930556,-90.673333,2009-12-19 08:30:00,2009-12-19 18:00:00,59.4654,2009-12-19 12:00:00,3.5000
07375800,30.930556,-90.673333,2010-02-05 17:30:00,2010-02-06 14:00:00,67.9604,2010-02-06 01:00:00,7.5000
07375800,30.930556,-90.673333,2012-01-27 17:30:00,2012-01-28 04:00:00,66.5446,2012-01-27 22:00:00,4.5000
07375800,30.930556,-90.673333,2012-02-17 01:00:00,2012-02-17 18:00:00,65.9783,2012-02-17 05:30:00,4.5000
07375800,30.930556,-90.673333,2012-02-19 08:00:00,2012-02-20 11:00:00,103.0733,2012-02-19 18:00:00,10.0000
07375800,30.930556,-90.673333,2012-08-31 15:00:00,2012-09-01 10:30:00,74.1901,2012-08-31 20:00:00,5.0000
07375800,30.930556,-90.673333,2013-02-12 19:00:00,2013-02-13 20:30:00,78.1545,2013-02-13 04:00:00,9.0000
07375800,30.930556,-90.673333,2013-04-15 04:00:00,2013-04-15 22:00:00,75.6060,2013-04-15 08:30:00,4.5000
07375800,30.930556,-90.673333,2014-02-21 07:30:00,2014-02-22 21:00:00,237.2952,2014-02-21 19:00:00,11.5000
07375800,30.930556,-90.673333,2015-01-04 12:30:00,2015-01-05 18:30:00,82.6852,2015-01-04 22:30:00,10.0000
07375800,30.930556,-90.673333,2015-10-26 08:00:00,2015-10-27 20:00:00,173.0159,2015-10-26 19:45:00,11.7500
07375800,30.930556,-90.673333,2016-03-11 09:30:00,2016-03-13 03:15:00,475.7230,2016-03-11 21:00:00,11.5000
07037500,37.194445,-90.503058,1995-02-28 09:15:00,1995-03-01 08:15:00,168.4852,1995-02-28 19:00:00,9.7500
07037500,37.194445,-90.503058,1995-03-07 23:45:00,1995-03-09 20:45:00,540.8518,1995-03-08 14:30:00,14.7500
07037500,37.194445,-90.503058,1995-12-20 03:15:00,1995-12-20 23:45:00,197.6516,1995-12-20 12:30:00,9.2500
07037500,37.194445,-90.503058,1996-01-19 11:00:00,1996-01-20 09:00:00,237.8615,1996-01-19 18:15:00,7.2500
07037500,37.194445,-90.503058,1996-01-24 17:45:00,1996-01-25 05:00:00,136.4872,1996-01-24 21:45:00,4.0000
07037500,37.194445,-90.503058,1996-03-25 23:30:00,1996-03-26 17:30:00,158.2912,1996-03-26 05:15:00,5.7500
07037500,37.194445,-90.503058,1996-04-01 18:45:00,1996-04-02 08:45:00,154.6100,1996-04-01 23:45:00,5.0000
07037500,37.194445,-90.503058,1996-04-20 22:15:00,1996-04-21 11:15:00,167.0694,1996-04-21 02:00:00,3.7500
07037500,37.194445,-90.503058,1996-04-22 17:00:00,1996-04-26 01:45:00,1237.4462,1996-04-23 14:00:00,21.0000
07037500,37.194445,-90.503058,1996-04-29 03:00:00,1996-05-01 10:00:00,475.7230,1996-04-29 19:45:00,16.7500
07037500,37.194445,-90.503058,1996-05-06 20:30:00,1996-05-09 23:15:00,526.6933,1996-05-07 13:15:00,16.7500
07037500,37.194445,-90.503058,1996-05-11 13:00:00,1996-05-13 17:00:00,478.5547,1996-05-11 21:00:00,8.0000
07037500,37.194445,-90.503058,1996-11-08 05:30:00,1996-11-10 03:30:00,240.1269,1996-11-08 16:45:00,11.2500
07037500,37.194445,-90.503058,1996-11-25 10:30:00,1996-11-26 05:45:00,812.6935,1996-11-26 05:30:00,19.0000
07037500,37.194445,-90.503058,1996-12-01 17:30:00,1996-12-02 17:15:00,154.6100,1996-12-02 04:00:00,10.5000
07037500,37.194445,-90.503058,1996-12-16 11:00:00,1996-12-17 04:30:00,161.4060,1996-12-16 17:15:00,6.2500
07037500,37.194445,-90.503058,1997-01-22 22:45:00,1997-01-24 05:00:00,294.4952,1997-01-23 08:00:00,9.2500
07037500,37.194445,-90.503058,1997-02-04 22:15:00,1997-02-05 16:00:00,159.9902,1997-02-05 03:45:00,5.5000
07037500,37.194445,-90.503058,1997-02-27 06:45:00,1997-03-04 06:30:00,696.5944,1997-02-28 01:00:00,18.2500
07037500,37.194445,-90.503058,1997-03-14 15:00:00,1997-03-15 17:30:00,203.8813,1997-03-14 22:30:00,7.5000
07037500,37.194445,-90.503058,1997-03-19 15:30:00,1997-03-20 05:30:00,143.2832,1997-03-19 23:15:00,7.7500
07037500,37.194445,-90.503058,1997-04-05 14:45:00,1997-04-07 19:15:00,600.3171,1997-04-06 09:00:00,17.2500
07037500,37.194445,-90.503058,1997-05-31 02:45:00,1997-06-02 06:15:00,1061.8817,1997-05-31 21:15:00,18.5000
07037500,37.194445,-90.503058,1997-06-18 18:15:00,1997-06-19 13:00:00,197.3684,1997-06-19 00:45:00,6.5000
07037500,37.194445,-90.503058,1999-01-18 21:30:00,1999-01-19 11:15:00,158.2912,1999-01-19 03:15:00,5.7500
07037500,37.194445,-90.503058,1999-01-22 17:00:00,1999-01-24 14:00:00,271.8417,1999-01-23 03:15:00,10.2500
07037500,37.194445,-90.503058,1999-02-01 06:00:00,1999-02-02 21:45:00,328.4754,1999-02-01 20:30:00,14.5000
07037500,37.194445,-90.503058,1999-02-07 13:30:00,1999-02-09 17:15:00,1025.0698,1999-02-08 08:15:00,18.7500
07037500,37.194445,-90.503058,1999-03-17 17:45:00,1999-03-18 17:00:00,179.5288,1999-03-18 01:15:00,7.5000
07037500,37.194445,-90.503058,1999-04-03 18:45:00,1999-04-08 06:30:00,2222.8725,1999-04-04 13:30:00,17.7500
07037500,37.194445,-90.503058,1999-04-15 01:00:00,1999-04-18 03:15:00,543.6835,1999-04-15 19:15:00,18.2500
07037500,37.194445,-90.503058,2000-02-18 22:15:00,2000-02-20 00:30:00,145.5486,2000-02-19 15:45:00,17.5000
07037500,37.194445,-90.503058,2000-02-27 00:45:00,2000-02-28 15:45:00,342.6338,2000-02-27 13:00:00,12.2500
07037500,37.194445,-90.503058,2000-06-18 03:45:00,2000-06-19 05:15:00,311.4853,2000-06-18 11:30:00,7.7500
07037500,37.194445,-90.503058,2001-02-25 08:45:00,2001-02-27 06:45:00,591.8221,2001-02-25 23:15:00,14.5000
07037500,37.194445,-90.503058,2001-04-04 20:15:00,2001-04-05 21:15:00,164.5209,2001-04-05 09:00:00,12.7500
07037500,37.194445,-90.503058,2001-07-29 11:30:00,2001-07-30 14:15:00,487.0498,2001-07-29 19:30:00,8.0000
07037500,37.194445,-90.503058,2001-12-16 22:15:00,2001-12-19 19:15:00,659.7825,2001-12-18 01:45:00,27.5000
07037500,37.194445,-90.503058,2002-02-01 02:00:00,2002-02-03 07:30:00,676.7726,2002-02-01 21:30:00,19.5000
07037500,37.194445,-90.503058,2002-02-20 17:45:00,2002-02-21 18:45:00,198.2179,2002-02-21 01:45:00,8.0000
07037500,37.194445,-90.503058,2002-03-09 12:45:00,2002-03-13 13:15:00,682.4360,2002-03-10 08:45:00,20.0000
07037500,37.194445,-90.503058,2002-03-19 23:30:00,2002-03-22 12:45:00,475.7230,2002-03-20 20:30:00,21.0000
07037500,37.194445,-90.503058,2002-03-26 05:00:00,2002-03-27 15:30:00,231.0655,2002-03-26 16:30:00,11.5000
07037500,37.194445,-90.503058,2002-04-08 19:15:00,2002-04-10 09:30:00,311.4853,2002-04-09 07:15:00,12.0000
07037500,37.194445,-90.503058,2002-04-13 12:45:00,2002-04-16 06:45:00,336.9705,2002-04-15 03:15:00,38.5000
07037500,37.194445,-90.503058,2002-04-24 13:30:00,2002-04-26 09:45:00,205.0140,2002-04-25 18:00:00,28.5000
07037500,37.194445,-90.503058,2002-04-29 06:45:00,2002-04-29 13:00:00,128.2753,2002-04-29 08:45:00,2.0000
07037500,37.194445,-90.503058,2002-05-08 09:30:00,2002-05-14 04:45:00,2194.5556,2002-05-14 00:15:00,134.7500
07037500,37.194445,-90.503058,2002-12-31 10:45:00,2003-01-02 16:15:00,322.8121,2003-01-01 10:15:00,23.5000
07037500,37.194445,-90.503058,2003-02-20 02:30:00,2003-02-24 09:30:00,328.4754,2003-02-20 15:30:00,13.0000
07037500,37.194445,-90.503058,2003-04-25 18:45:00,2003-04-27 17:45:00,376.6141,2003-04-26 08:00:00,13.2500
07037500,37.194445,-90.503058,2003-04-30 20:45:00,2003-05-03 12:15:00,190.8555,2003-05-02 19:00:00,46.2500
07037500,37.194445,-90.503058,2003-05-05 17:30:00,2003-05-09 03:45:00,311.4853,2003-05-08 01:45:00,56.2500
07037500,37.194445,-90.503058,2003-06-12 02:45:00,2003-06-13 21:00:00,286.0002,2003-06-13 00:15:00,21.5000
07037500,37.194445,-90.503058,2003-11-18 13:30:00,2003-11-21 07:30:00,1141.1689,2003-11-19 11:30:00,22.0000
07037500,37.194445,-90.503058,2003-12-29 18:15:00,2003-12-31 09:15:00,348.2972,2003-12-30 06:15:00,12.0000
07037500,37.194445,-90.503058,2004-01-05 17:30:00,2004-01-06 12:00:00,166.7862,2004-01-05 23:30:00,6.0000
07037500,37.194445,-90.503058,2004-02-03 23:15:00,2004-02-04 01:00:00,126.8595,2004-02-04 00:45:00,1.5000
07037500,37.194445,-90.503058,2004-03-04 15:15:00,2004-03-07 15:00:00,504.0399,2004-03-05 20:30:00,29.2500
07037500,37.194445,-90.503058,2004-04-24 21:00:00,2004-04-27 00:45:00,433.2478,2004-04-25 14:00:00,17.0000
07037500,37.194445,-90.503058,2004-05-01 15:00:00,2004-05-03 22:30:00,376.6141,2004-05-02 10:00:00,19.0000
07037500,37.194445,-90.503058,2004-05-31 14:30:00,2004-06-01 10:30:00,222.0041,2004-05-31 21:15:00,6.7500
07037500,37.194445,-90.503058,2004-11-12 08:15:00,2004-11-13 11:45:00,269.5764,2004-11-12 16:45:00,8.5000
07037500,37.194445,-90.503058,2004-11-25 12:15:00,2004-11-26 11:30:00,222.0041,2004-11-25 20:15:00,8.0000
07037500,37.194445,-90.503058,2004-11-30 15:15:00,2004-12-02 20:15:00,286.0002,2004-12-01 15:45:00,24.5000
07037500,37.194445,-90.503058,2004-12-07 23:45:00,2004-12-09 03:15:00,214.6417,2004-12-08 09:30:00,9.7500
07037500,37.194445,-90.503058,2005-01-06 02:00:00,2005-01-08 08:45:00,543.6835,2005-01-06 21:30:00,19.5000
07037500,37.194445,-90.503058,2005-01-13 14:45:00,2005-01-16 00:45:00,716.4162,2005-01-14 10:15:00,19.5000
07037500,37.194445,-90.503058,2005-11-15 09:15:00,2005-11-17 06:30:00,631.4657,2005-11-15 15:30:00,6.2500
07037500,37.194445,-90.503058,2005-11-28 09:15:00,2005-11-30 09:00:00,637.1290,2005-11-29 04:15:00,19.0000
07037500,37.194445,-90.503058,2006-03-09 19:45:00,2006-03-15 08:45:00,461.5646,2006-03-10 17:15:00,21.5000
07037500,37.194445,-90.503058,2006-05-10 15:00:00,2006-05-13 01:15:00,356.7923,2006-05-11 04:15:00,13.2500
07037500,37.194445,-90.503058,2006-10-28 13:00:00,2006-10-29 10:30:00,213.5090,2006-10-28 21:30:00,8.5000
07037500,37.194445,-90.503058,2006-11-17 02:30:00,2006-11-18 00:45:00,181.5110,2006-11-17 13:00:00,10.5000
07037500,37.194445,-90.503058,2006-11-30 22:45:00,2006-12-03 15:30:00,750.3964,2006-12-01 21:45:00,23.0000
07037500,37.194445,-90.503058,2007-01-01 04:30:00,2007-01-01 23:45:00,168.2021,2007-01-01 11:15:00,6.7500
07037500,37.194445,-90.503058,2007-01-14 05:00:00,2007-01-17 17:30:00,470.0597,2007-01-16 06:15:00,49.2500
07037500,37.194445,-90.503058,2007-02-14 01:30:00,2007-02-15 16:00:00,393.6042,2007-02-14 12:30:00,11.0000
07037500,37.194445,-90.503058,2007-02-25 13:15:00,2007-02-26 23:15:00,286.0002,2007-02-25 21:30:00,8.2500
07037500,37.194445,-90.503058,2007-04-14 11:00:00,2007-04-16 17:15:00,492.7131,2007-04-15 01:30:00,14.5000
07037500,37.194445,-90.503058,2007-05-03 17:00:00,2007-05-07 02:30:00,625.8023,2007-05-04 08:45:00,15.7500
07037500,37.194445,-90.503058,2007-05-09 22:15:00,2007-05-10 00:45:00,129.6912,2007-05-09 22:45:00,0.5000
07037500,37.194445,-90.503058,2007-05-11 21:15:00,2007-05-13 09:15:00,240.1269,2007-05-12 16:45:00,19.5000
07037500,37.194445,-90.503058,2007-09-09 15:45:00,2007-09-10 05:45:00,276.0893,2007-09-09 20:15:00,4.5000
07037500,37.194445,-90.503058,2007-12-11 02:45:00,2007-12-14 18:30:00,208.9783,2007-12-14 01:00:00,70.2500
07037500,37.194445,-90.503058,2007-12-16 04:00:00,2007-12-17 04:00:00,170.1842,2007-12-16 14:15:00,10.2500
07037500,37.194445,-90.503058,2008-02-06 20:15:00,2008-02-08 04:15:00,362.4556,2008-02-07 05:00:00,8.7500
07037500,37.194445,-90.503058,2008-02-17 12:15:00,2008-02-20 06:45:00,756.0598,2008-02-18 13:00:00,24.7500
07037500,37.194445,-90.503058,2008-03-04 14:15:00,2008-03-06 04:00:00,302.9903,2008-03-04 23:30:00,9.2500
07037500,37.194445,-90.503058,2008-03-18 13:15:00,2008-03-22 04:45:00,2245.5259,2008-03-19 16:15:00,27.0000
07037500,37.194445,-90.503058,2008-03-31 05:00:00,2008-04-01 04:45:00,300.1586,2008-04-01 04:45:00,23.7500
07037500,37.194445,-90.503058,2008-04-10 05:00:00,2008-04-13 04:45:00,1497.9612,2008-04-11 15:00:00,34.0000
07037500,37.194445,-90.503058,2008-05-08 20:15:00,2008-05-12 19:45:00,252.0199,2008-05-09 06:15:00,10.0000
07037500,37.194445,-90.503058,2008-05-15 20:00:00,2008-05-18 03:15:00,436.0794,2008-05-16 12:15:00,16.2500
07037500,37.194445,-90.503058,2008-12-28 18:45:00,2008-12-29 17:00:00,218.8892,2008-12-29 00:00:00,5.2500
07037500,37.194445,-90.503058,2009-02-08 18:15:00,2009-02-14 02:30:00,682.4360,2009-02-12 05:00:00,82.7500
07037500,37.194445,-90.503058,2009-03-29 10:15:00,2009-03-30 23:15:00,192.5546,2009-03-29 19:45:00,9.5000
07037500,37.194445,-90.503058,2009-04-20 14:30:00,2009-04-22 07:30:00,475.7230,2009-04-21 02:45:00,12.2500
07037500,37.194445,-90.503058,2009-04-28 09:00:00,2009-05-05 23:00:00,475.7230,2009-04-29 03:45:00,18.7500
07037500,37.194445,-90.503058,2009-05-09 08:30:00,2009-05-10 22:00:00,399.2675,2009-05-09 20:15:00,11.7500
07037500,37.194445,-90.503058,2009-05-28 04:45:00,2009-05-28 09:15:00,131.1070,2009-05-28 07:00:00,2.2500
07037500,37.194445,-90.503058,2009-06-16 04:00:00,2009-06-18 08:30:00,224.8358,2009-06-17 05:30:00,25.5000
07037500,37.194445,-90.503058,2009-10-10 06:00:00,2009-10-10 20:15:00,154.0436,2009-10-10 11:45:00,5.7500
07037500,37.194445,-90.503058,2009-10-23 13:30:00,2009-10-25 07:30:00,504.0399,2009-10-24 02:00:00,12.5000
07037500,37.194445,-90.503058,2009-10-30 03:45:00,2009-11-03 10:15:00,1364.8720,2009-10-31 07:15:00,27.5000
07037500,37.194445,-90.503058,2009-11-17 20:00:00,2009-11-19 02:30:00,187.1744,2009-11-18 07:15:00,11.2500
07037500,37.194445,-90.503058,2009-12-24 21:15:00,2009-12-27 20:45:00,897.6440,2009-12-25 20:15:00,23.0000
07037500,37.194445,-90.503058,2010-01-25 03:45:00,2010-01-25 22:30:00,157.4417,2010-01-25 09:15:00,5.5000
07037500,37.194445,-90.503058,2010-02-06 10:15:00,2010-02-07 23:00:00,210.9605,2010-02-06 19:15:00,9.0000
07037500,37.194445,-90.503058,2010-03-26 15:15:00,2010-03-27 22:00:00,255.9843,2010-03-27 00:00:00,8.7500
07037500,37.194445,-90.503058,2010-05-21 08:00:00,2010-05-22 04:45:00,159.9902,2010-05-21 12:45:00,4.7500
07037500,37.194445,-90.503058,2011-02-25 21:30:00,2011-02-26 23:30:00,279.7704,2011-02-26 04:30:00,7.0000
07037500,37.194445,-90.503058,2011-03-01 05:30:00,2011-03-02 03:15:00,188.8734,2011-03-01 13:30:00,8.0000
07037500,37.194445,-90.503058,2011-03-05 23:00:00,2011-03-07 12:30:00,413.4260,2011-03-06 08:15:00,9.2500
07037500,37.194445,-90.503058,2011-03-15 04:30:00,2011-03-16 22:15:00,399.2675,2011-03-15 13:45:00,9.2500
07037500,37.194445,-90.503058,2011-04-12 13:30:00,2011-04-13 09:45:00,189.1565,2011-04-12 19:00:00,5.5000
07037500,37.194445,-90.503058,2011-04-23 14:15:00,2011-04-24 04:45:00,730.5746,2011-04-24 04:45:00,14.5000
07037500,37.194445,-90.503058,2011-12-05 19:00:00,2011-12-06 22:30:00,168.7684,2011-12-06 03:00:00,8.0000
07037500,37.194445,-90.503058,2011-12-15 18:30:00,2011-12-17 04:30:00,317.1487,2011-12-16 04:00:00,9.5000
