GaugeID, Lat, Lon, Start Time (UTC), End Time (UTC), Peak Q (cms), Peak Time (UTC), Delta Time (h)
07329780,34.431667,-97.146944,2004-10-31 17:20:00,2004-11-02 02:40:00,9.1463,2004-10-31 18:30:00,1.1667
07329780,34.431667,-97.146944,2004-11-03 08:40:00,2004-11-04 05:00:00,4.2192,2004-11-03 15:10:00,6.5000
07329780,34.431667,-97.146944,2004-11-17 19:10:00,2004-11-19 03:30:00,10.0242,2004-11-18 00:30:00,5.3333
07329780,34.431667,-97.146944,2005-01-03 08:20:00,2005-01-06 22:30:00,11.0719,2005-01-03 13:00:00,4.6667
07329780,34.431667,-97.146944,2005-08-15 05:10:00,2005-08-18 00:40:00,53.5188,2005-08-15 10:10:00,5.0000
07329780,34.431667,-97.146944,2006-03-19 05:30:00,2006-03-21 02:00:00,15.4610,2006-03-19 10:20:00,4.8333
07329780,34.431667,-97.146944,2006-05-06 04:40:00,2006-05-07 19:20:00,18.9440,2006-05-06 09:40:00,5.0000
07329780,34.431667,-97.146944,2006-10-15 18:20:00,2006-10-16 19:20:00,10.9586,2006-10-16 04:10:00,9.8333
07329780,34.431667,-97.146944,2006-11-06 06:30:00,2006-11-06 12:40:00,3.9644,2006-11-06 07:10:00,0.6667
07329780,34.431667,-97.146944,2006-12-30 06:30:00,2006-12-31 05:50:00,8.9198,2006-12-30 11:10:00,4.6667
07329780,34.431667,-97.146944,2007-01-20 20:50:00,2007-01-22 15:50:00,8.9198,2007-01-21 03:20:00,6.5000
07329780,34.431667,-97.146944,2007-03-30 20:40:00,2007-04-01 22:00:00,45.8733,2007-03-31 01:10:00,4.5000
07329780,34.431667,-97.146944,2007-05-07 17:10:00,2007-05-11 21:00:00,21.9172,2007-05-07 19:00:00,1.8333
07329780,34.431667,-97.146944,2007-05-27 09:00:00,2007-06-01 00:10:00,47.8555,2007-05-27 13:00:00,4.0000
07329780,34.431667,-97.146944,2007-06-14 11:10:00,2007-06-14 20:20:00,9.6844,2007-06-14 12:50:00,1.6667
07329780,34.431667,-97.146944,2007-06-25 22:30:00,2007-07-03 16:50:00,48.7050,2007-07-01 12:50:00,134.3333
07329780,34.431667,-97.146944,2007-07-10 10:40:00,2007-07-11 14:00:00,39.3604,2007-07-10 12:30:00,1.8333
07329780,34.431667,-97.146944,2007-07-13 11:40:00,2007-07-14 17:40:00,5.1253,2007-07-13 19:10:00,7.5000
07329780,34.431667,-97.146944,2007-07-31 23:10:00,2007-07-31 23:40:00,3.9644,2007-07-31 23:20:00,0.1667
07329780,34.431667,-97.146944,2009-04-29 15:50:00,2009-05-01 19:20:00,50.9703,2009-04-30 05:20:00,13.5000
07329780,34.431667,-97.146944,2009-05-07 05:00:00,2009-05-17 14:20:00,19.1139,2009-05-11 16:20:00,107.3333
07329780,34.431667,-97.146944,2009-06-03 08:00:00,2009-06-04 03:50:00,21.7190,2009-06-03 09:50:00,1.8333
07329780,34.431667,-97.146944,2009-09-17 08:40:00,2009-09-17 17:20:00,4.4457,2009-09-17 10:40:00,2.0000
07329780,34.431667,-97.146944,2009-10-06 12:40:00,2009-10-07 04:40:00,7.7871,2009-10-06 17:00:00,4.3333
07329780,34.431667,-97.146944,2009-10-09 02:40:00,2009-10-11 04:10:00,31.7149,2009-10-09 04:30:00,1.8333
