GaugeID, Lat, Lon, Start Time (UTC), End Time (UTC), Peak Q (cms), Peak Time (UTC), Delta Time (h)
09024000,39.900000,-105.776111,1991-06-16 03:00:00,1991-06-16 13:00:00,6.8527,1991-06-16 04:00:00,1.0000
09024000,39.900000,-105.776111,1995-06-14 22:00:00,1995-07-01 10:00:00,14.3850,1995-06-23 05:00:00,199.0000
09024000,39.900000,-105.776111,1995-07-03 05:00:00,1995-07-04 02:00:00,6.9093,1995-07-04 00:00:00,19.0000
09024000,39.900000,-105.776111,1995-07-07 05:00:00,1995-07-19 05:00:00,13.4788,1995-07-10 00:00:00,67.0000
09024000,39.900000,-105.776111,1996-05-18 23:45:00,1996-05-20 10:15:00,7.7871,1996-05-20 03:15:00,27.5000
09024000,39.900000,-105.776111,1996-06-15 23:45:00,1996-06-16 05:00:00,7.7022,1996-06-16 01:15:00,1.5000
09024000,39.900000,-105.776111,1996-06-17 21:00:00,1996-06-18 16:00:00,8.3535,1996-06-18 01:30:00,4.5000
09024000,39.900000,-105.776111,1997-06-04 23:45:00,1997-06-09 14:15:00,12.3178,1997-06-09 06:15:00,102.5000
09024000,39.900000,-105.776111,2003-05-30 01:45:00,2003-05-30 05:45:00,7.9854,2003-05-30 02:45:00,1.0000
09024000,39.900000,-105.776111,2003-05-31 21:45:00,2003-06-02 01:00:00,8.3252,2003-06-01 00:45:00,3.0000
09024000,39.900000,-105.776111,2007-06-18 00:00:00,2007-06-18 09:45:00,7.3057,2007-06-18 01:00:00,1.0000
09024000,39.900000,-105.776111,2009-06-25 06:00:00,2009-06-26 04:15:00,6.9093,2009-06-25 07:00:00,1.0000
09024000,39.900000,-105.776111,2010-06-05 01:00:00,2010-06-13 23:15:00,10.1091,2010-06-07 06:15:00,53.2500
09024000,39.900000,-105.776111,2011-06-28 00:15:00,2011-07-14 10:30:00,9.3162,2011-07-01 02:45:00,74.5000
09024000,39.900000,-105.776111,2011-07-19 05:00:00,2011-07-19 10:00:00,7.9854,2011-07-19 07:15:00,2.2500
09024000,39.900000,-105.776111,2014-05-25 03:00:00,2014-05-25 06:30:00,7.4473,2014-05-25 04:15:00,1.2500
09024000,39.900000,-105.776111,2014-05-30 20:00:00,2014-06-09 06:45:00,9.9392,2014-05-30 23:45:00,3.7500
09024000,39.900000,-105.776111,2014-06-12 00:45:00,2014-06-15 02:30:00,7.2774,2014-06-14 03:15:00,50.5000
09024000,39.900000,-105.776111,2015-06-05 06:30:00,2015-06-24 05:30:00,8.6083,2015-06-12 03:45:00,165.2500
09026500,39.910000,-105.877778,1991-06-15 06:00:00,1991-06-15 11:00:00,10.2224,1991-06-15 08:00:00,2.0000
09026500,39.910000,-105.877778,1995-06-16 22:00:00,1995-06-24 06:00:00,15.8008,1995-06-18 03:00:00,29.0000
09026500,39.910000,-105.877778,1995-06-29 00:00:00,1995-06-29 09:00:00,10.5339,1995-06-29 03:00:00,3.0000
09026500,39.910000,-105.877778,1995-07-09 02:00:00,1995-07-16 09:00:00,12.9691,1995-07-12 04:00:00,74.0000
09026500,39.910000,-105.877778,1996-06-15 22:45:00,1996-06-16 06:00:00,11.3551,1996-06-16 01:15:00,2.5000
09026500,39.910000,-105.877778,1996-06-17 22:30:00,1996-06-23 10:45:00,14.1301,1996-06-22 05:00:00,102.5000
09026500,39.910000,-105.877778,1997-06-05 02:15:00,1997-06-05 05:45:00,9.9109,1997-06-05 05:45:00,3.5000
09026500,39.910000,-105.877778,1997-06-08 00:00:00,1997-06-09 06:30:00,10.5339,1997-06-08 01:15:00,1.2500
09026500,39.910000,-105.877778,1997-06-19 22:30:00,1997-06-25 04:15:00,13.7337,1997-06-22 04:45:00,54.2500
09026500,39.910000,-105.877778,2010-06-07 00:15:00,2010-06-08 07:00:00,11.4683,2010-06-07 02:15:00,2.0000
09026500,39.910000,-105.877778,2011-07-13 05:15:00,2011-07-13 12:00:00,12.9125,2011-07-13 06:30:00,1.2500
09026500,39.910000,-105.877778,2014-05-31 00:45:00,2014-06-05 04:45:00,11.4683,2014-06-01 02:30:00,25.7500
09046490,39.455833,-106.031111,1995-06-18 02:00:00,1995-06-18 17:00:00,19.2838,1995-06-18 08:00:00,6.0000
09046490,39.455833,-106.031111,1995-06-22 06:00:00,1995-06-22 10:00:00,15.7442,1995-06-22 08:00:00,2.0000
09046490,39.455833,-106.031111,1995-07-11 07:00:00,1995-07-14 16:00:00,18.5192,1995-07-12 08:00:00,25.0000
09080400,39.365556,-106.825000,1996-05-16 12:15:00,1996-05-23 23:30:00,23.9561,1996-05-17 09:00:00,20.7500
09080400,39.365556,-106.825000,1997-06-02 14:15:00,1997-06-04 01:30:00,28.3168,1997-06-04 01:15:00,35.0000
09080400,39.365556,-106.825000,1998-05-29 21:30:00,1998-06-02 12:30:00,22.7667,1998-05-30 19:45:00,22.2500
09080400,39.365556,-106.825000,1999-06-29 21:30:00,1999-07-02 12:00:00,22.2004,1999-06-29 22:00:00,0.5000
09080400,39.365556,-106.825000,2006-05-23 19:15:00,2006-05-26 15:00:00,24.5790,2006-05-25 05:45:00,34.5000
09080400,39.365556,-106.825000,2008-06-07 23:30:00,2008-06-11 07:45:00,24.5790,2008-06-09 00:45:00,25.2500
09080400,39.365556,-106.825000,2009-05-19 13:30:00,2009-05-21 23:45:00,24.3808,2009-05-20 18:15:00,28.7500
09080400,39.365556,-106.825000,2010-06-09 19:00:00,2010-06-14 12:00:00,23.9844,2010-06-10 02:45:00,7.7500
09080400,39.365556,-106.825000,2011-06-16 01:00:00,2011-06-23 17:15:00,22.9933,2011-06-17 03:15:00,26.2500
09080400,39.365556,-106.825000,2014-06-03 00:45:00,2014-06-04 13:45:00,21.8889,2014-06-03 20:00:00,19.2500
09080400,39.365556,-106.825000,2015-06-06 00:45:00,2015-06-06 23:45:00,20.5297,2015-06-06 01:45:00,1.0000
09080400,39.365556,-106.825000,2015-06-18 18:30:00,2015-06-23 00:00:00,24.2109,2015-06-19 03:00:00,8.5000
09143500,38.901667,-107.920556,1995-06-16 03:15:00,1995-06-16 09:00:00,21.6341,1995-06-16 04:00:00,0.7500
09143500,38.901667,-107.920556,2005-05-21 02:00:00,2005-05-23 01:45:00,19.1705,2005-05-23 01:15:00,47.2500
09050700,39.625556,-106.065833,1995-07-09 17:00:00,1995-07-22 13:30:00,56.6337,1995-07-14 10:45:00,113.7500
09050700,39.625556,-106.065833,1996-06-09 16:15:00,1996-06-26 15:30:00,50.9703,1996-06-11 21:15:00,53.0000
09050700,39.625556,-106.065833,1999-06-20 15:45:00,1999-06-21 05:45:00,46.4396,1999-06-20 16:30:00,0.7500
09050700,39.625556,-106.065833,1999-06-22 06:00:00,1999-06-29 15:15:00,51.5367,1999-06-23 21:00:00,39.0000
09050700,39.625556,-106.065833,2009-06-01 18:15:00,2009-06-08 11:45:00,49.8377,2009-06-04 23:15:00,77.0000
09050700,39.625556,-106.065833,2010-06-06 06:15:00,2010-06-13 20:45:00,50.9703,2010-06-07 14:00:00,31.7500
09050700,39.625556,-106.065833,2011-07-06 19:15:00,2011-07-16 17:30:00,50.4040,2011-07-09 16:15:00,69.0000
09050700,39.625556,-106.065833,2014-06-03 22:00:00,2014-06-10 19:45:00,48.4218,2014-06-06 17:15:00,67.2500
09050700,39.625556,-106.065833,2015-06-15 21:15:00,2015-06-24 17:30:00,50.9703,2015-06-17 17:15:00,44.0000
09036000,39.833889,-106.055833,1995-06-18 03:00:00,1995-06-18 08:00:00,42.7584,1995-06-18 05:00:00,2.0000
09036000,39.833889,-106.055833,2003-06-01 05:00:00,2003-06-01 07:30:00,39.3604,2003-06-01 05:30:00,0.5000
09036000,39.833889,-106.055833,2010-06-07 04:15:00,2010-06-08 07:00:00,42.4753,2010-06-08 05:15:00,25.0000
09036000,39.833889,-106.055833,2011-07-01 04:45:00,2011-07-01 08:30:00,39.6436,2011-07-01 06:30:00,1.7500
09036000,39.833889,-106.055833,2011-07-06 04:15:00,2011-07-06 11:15:00,43.0416,2011-07-06 07:00:00,2.7500
09036000,39.833889,-106.055833,2011-07-08 07:15:00,2011-07-08 15:15:00,48.4218,2011-07-08 10:30:00,3.2500
09073400,39.180000,-106.801389,1995-06-16 12:00:00,1995-06-19 00:00:00,56.3505,1995-06-18 08:00:00,44.0000
09073400,39.180000,-106.801389,1995-06-21 10:00:00,1995-07-04 15:30:00,51.5367,1995-06-29 09:00:00,191.0000
09073400,39.180000,-106.801389,1995-07-08 05:30:00,1995-07-17 22:30:00,63.1466,1995-07-11 09:00:00,75.5000
09073400,39.180000,-106.801389,1995-07-20 09:00:00,1995-07-21 14:00:00,33.4139,1995-07-20 13:00:00,4.0000
09073400,39.180000,-106.801389,1996-06-15 07:30:00,1996-06-18 11:00:00,33.4139,1996-06-16 00:00:00,16.5000
09073400,39.180000,-106.801389,1997-06-15 10:00:00,1997-06-16 13:30:00,30.2990,1997-06-16 13:30:00,27.5000
09073400,39.180000,-106.801389,1997-06-18 08:30:00,1997-06-27 10:30:00,53.2357,1997-06-21 10:00:00,73.5000
09073400,39.180000,-106.801389,1999-06-09 07:30:00,1999-06-10 15:30:00,33.4139,1999-06-10 11:00:00,27.5000
09073400,39.180000,-106.801389,1999-06-20 09:00:00,1999-06-27 14:30:00,37.9446,1999-06-24 09:00:00,96.0000
09073400,39.180000,-106.801389,2003-05-30 09:00:00,2003-05-30 13:30:00,30.8654,2003-05-30 10:45:00,1.7500
09073400,39.180000,-106.801389,2010-06-07 05:15:00,2010-06-10 14:45:00,47.8555,2010-06-07 10:45:00,5.5000
09073400,39.180000,-106.801389,2015-06-11 01:45:00,2015-06-14 18:15:00,36.5287,2015-06-12 10:00:00,32.2500
09073400,39.180000,-106.801389,2015-06-16 10:15:00,2015-06-23 10:00:00,47.5723,2015-06-18 07:15:00,45.0000
09143000,38.984722,-107.853889,1993-05-16 00:30:00,1993-05-16 01:00:00,11.3267,1993-05-16 00:45:00,0.2500
09143000,38.984722,-107.853889,1993-05-21 22:30:00,1993-05-22 02:45:00,11.8364,1993-05-22 01:15:00,2.7500
09143000,38.984722,-107.853889,1993-05-26 00:15:00,1993-05-26 02:00:00,11.0719,1993-05-26 00:30:00,0.2500
09143000,38.984722,-107.853889,1993-06-16 23:30:00,1993-06-17 07:30:00,11.1852,1993-06-17 01:30:00,2.0000
09143000,38.984722,-107.853889,1995-06-14 00:15:00,1995-07-04 18:45:00,25.2586,1995-06-16 03:00:00,50.7500
09143000,38.984722,-107.853889,1997-06-01 00:45:00,1997-06-02 20:30:00,10.9586,1997-06-02 20:30:00,43.7500
09143000,38.984722,-107.853889,1997-06-08 03:45:00,1997-06-11 04:15:00,16.6503,1997-06-08 05:15:00,1.5000
09143000,38.984722,-107.853889,1997-06-13 10:30:00,1997-06-13 13:15:00,11.0719,1997-06-13 11:15:00,0.7500
09143000,38.984722,-107.853889,1998-05-21 20:30:00,1998-05-22 04:00:00,13.8186,1998-05-21 23:00:00,2.5000
09143000,38.984722,-107.853889,2005-05-17 23:15:00,2005-05-30 08:00:00,24.6640,2005-05-23 00:45:00,121.5000
09143000,38.984722,-107.853889,2005-06-16 22:30:00,2005-06-20 05:00:00,12.4028,2005-06-17 03:15:00,4.7500
09143000,38.984722,-107.853889,2008-05-20 22:30:00,2008-05-21 07:45:00,11.3267,2008-05-21 00:45:00,2.2500
09143000,38.984722,-107.853889,2008-06-03 00:00:00,2008-06-03 06:45:00,11.3267,2008-06-03 04:30:00,4.5000
09143000,38.984722,-107.853889,2009-05-25 03:15:00,2009-05-26 02:00:00,13.6770,2009-05-25 05:30:00,2.2500
09143000,38.984722,-107.853889,2015-06-12 01:00:00,2015-06-12 09:15:00,11.9780,2015-06-12 01:15:00,0.2500
09237500,40.285278,-106.830833,1996-05-09 18:30:00,1996-05-09 20:30:00,11.6382,1996-05-09 20:00:00,1.5000
09237500,40.285278,-106.830833,1997-05-24 17:15:00,1997-05-24 18:30:00,14.4416,1997-05-24 18:15:00,1.0000
09292500,40.511944,-110.340833,1995-07-08 05:00:00,1995-07-08 07:00:00,55.5010,1995-07-08 06:00:00,1.0000
09292500,40.511944,-110.340833,1999-06-17 07:00:00,1999-06-17 09:15:00,54.9347,1999-06-17 09:00:00,2.0000
09292500,40.511944,-110.340833,1999-06-19 03:00:00,1999-06-20 14:45:00,75.6060,1999-06-20 08:00:00,29.0000
09292500,40.511944,-110.340833,1999-06-23 04:30:00,1999-06-23 07:30:00,56.9169,1999-06-23 06:30:00,2.0000
09292500,40.511944,-110.340833,2005-05-28 04:45:00,2005-05-29 12:00:00,61.1644,2005-05-29 04:30:00,23.7500
09292500,40.511944,-110.340833,2005-06-23 06:45:00,2005-06-23 09:15:00,56.0674,2005-06-23 08:30:00,1.7500
09292500,40.511944,-110.340833,2010-06-05 23:15:00,2010-06-08 10:30:00,91.4634,2010-06-06 04:40:00,5.4167
09292500,40.511944,-110.340833,2011-06-24 06:15:00,2011-06-25 06:45:00,54.3683,2011-06-24 09:00:00,2.7500
09292500,40.511944,-110.340833,2011-06-30 07:00:00,2011-06-30 07:30:00,53.8020,2011-06-30 07:30:00,0.5000
09081600,39.232222,-107.226667,1993-05-28 05:00:00,1993-05-28 10:30:00,82.1189,1993-05-28 05:30:00,0.5000
09081600,39.232222,-107.226667,1993-06-17 02:30:00,1993-06-17 15:00:00,84.9505,1993-06-17 07:00:00,4.5000
09081600,39.232222,-107.226667,1993-06-30 03:00:00,1993-06-30 13:30:00,86.6496,1993-06-30 07:00:00,4.0000
09081600,39.232222,-107.226667,1995-06-15 04:30:00,1995-06-18 11:30:00,97.1268,1995-06-16 06:00:00,25.5000
09081600,39.232222,-107.226667,1995-07-11 05:30:00,1995-07-13 10:30:00,83.5347,1995-07-13 07:30:00,50.0000
09081600,39.232222,-107.226667,2011-06-23 05:45:00,2011-07-10 12:45:00,107.3208,2011-06-25 07:15:00,49.5000
09081600,39.232222,-107.226667,2015-06-12 03:15:00,2015-06-12 07:15:00,85.5169,2015-06-12 05:15:00,2.0000
09050100,39.575278,-106.110000,1995-06-18 01:00:00,1995-06-18 10:00:00,49.8377,1995-06-18 06:00:00,5.0000
09050100,39.575278,-106.110000,1995-06-21 04:00:00,1995-06-22 04:00:00,41.9089,1995-06-22 03:00:00,23.0000
09050100,39.575278,-106.110000,2003-05-30 03:15:00,2003-05-30 06:30:00,42.7584,2003-05-30 04:45:00,1.5000
09050100,39.575278,-106.110000,2014-05-31 02:00:00,2014-06-01 02:00:00,42.4753,2014-05-31 05:30:00,3.5000
09050100,39.575278,-106.110000,2014-06-02 02:30:00,2014-06-05 07:45:00,43.3248,2014-06-04 05:45:00,51.2500
09114500,38.541944,-106.949167,1995-06-16 16:00:00,1995-06-19 15:30:00,215.7744,1995-06-18 14:30:00,46.5000
09114500,38.541944,-106.949167,1995-06-30 13:30:00,1995-07-02 12:30:00,189.1565,1995-07-01 06:00:00,16.5000
09217900,40.958890,-110.579722,2010-06-06 01:00:00,2010-06-08 12:30:00,107.0377,2010-06-07 05:30:00,28.5000
09217900,40.958890,-110.579722,2011-06-30 04:30:00,2011-07-01 10:15:00,98.8258,2011-06-30 07:45:00,3.2500
09019500,40.120833,-105.900000,1996-06-19 21:45:00,1996-06-20 17:30:00,63.1466,1996-06-19 23:15:00,1.5000
09019500,40.120833,-105.900000,1996-06-22 17:45:00,1996-06-23 19:00:00,71.3585,1996-06-23 01:15:00,7.5000
09019500,40.120833,-105.900000,1997-06-09 21:00:00,1997-06-13 20:00:00,56.0674,1997-06-12 19:30:00,70.5000
09019500,40.120833,-105.900000,2011-06-19 16:30:00,2011-06-30 21:45:00,64.8456,2011-06-26 09:45:00,161.2500
09019500,40.120833,-105.900000,2011-07-13 17:00:00,2011-07-17 16:00:00,63.7129,2011-07-14 20:30:00,27.5000
09019500,40.120833,-105.900000,2011-07-19 23:45:00,2011-07-22 16:00:00,56.9169,2011-07-21 10:45:00,35.0000
09037500,40.000020,-106.180279,1995-06-16 06:00:00,1995-06-24 10:45:00,40.4931,1995-06-18 10:30:00,52.5000
09037500,40.000020,-106.180279,1995-07-11 09:45:00,1995-07-14 13:00:00,31.1485,1995-07-12 10:15:00,24.5000
09037500,40.000020,-106.180279,1996-05-17 04:13:00,1996-05-20 19:28:00,36.2456,1996-05-20 10:28:00,78.2500
09037500,40.000020,-106.180279,1996-06-16 02:31:00,1996-06-16 12:31:00,33.4139,1996-06-16 07:31:00,5.0000
09037500,40.000020,-106.180279,1996-06-22 07:16:00,1996-06-23 12:31:00,32.2812,1996-06-22 10:31:00,3.2500
09037500,40.000020,-106.180279,2003-05-29 06:00:00,2003-05-30 05:45:00,38.2277,2003-05-29 13:00:00,7.0000
09037500,40.000020,-106.180279,2008-05-20 06:00:00,2008-05-23 10:45:00,41.0594,2008-05-22 06:45:00,48.7500
09037500,40.000020,-106.180279,2008-05-29 02:30:00,2008-06-06 00:30:00,41.9089,2008-06-03 09:30:00,127.0000
09037500,40.000020,-106.180279,2008-06-08 08:45:00,2008-06-08 15:15:00,30.8654,2008-06-08 10:00:00,1.2500
09037500,40.000020,-106.180279,2008-06-20 08:30:00,2008-06-22 13:15:00,31.9980,2008-06-20 12:00:00,3.5000
09037500,40.000020,-106.180279,2009-06-02 06:00:00,2009-06-03 09:45:00,31.9980,2009-06-03 08:45:00,26.7500
09037500,40.000020,-106.180279,2010-06-06 07:00:00,2010-06-11 08:30:00,45.3070,2010-06-08 11:45:00,52.7500
09037500,40.000020,-106.180279,2010-06-12 09:15:00,2010-06-12 13:30:00,31.1485,2010-06-12 13:30:00,4.2500
09037500,40.000020,-106.180279,2011-06-03 03:30:00,2011-07-11 14:00:00,45.0238,2011-06-07 09:00:00,101.5000
09037500,40.000020,-106.180279,2011-07-13 07:15:00,2011-07-13 16:15:00,35.6792,2011-07-13 11:45:00,4.5000
09037500,40.000020,-106.180279,2013-06-10 08:45:00,2013-06-12 12:15:00,32.2812,2013-06-12 09:45:00,49.0000
09037500,40.000020,-106.180279,2014-06-14 08:15:00,2014-06-14 11:15:00,30.8654,2014-06-14 09:15:00,1.0000
09037500,40.000020,-106.180279,2015-06-12 10:30:00,2015-06-14 11:00:00,35.1129,2015-06-14 07:30:00,45.0000
09063000,39.508333,-106.366111,1995-06-06 02:30:00,1995-06-09 16:00:00,13.0257,1995-06-09 06:30:00,76.0000
09063000,39.508333,-106.366111,1995-06-13 00:30:00,1995-06-25 05:00:00,18.4909,1995-06-18 04:30:00,124.0000
09063000,39.508333,-106.366111,1996-05-16 02:30:00,1996-05-23 10:00:00,15.6026,1996-05-20 04:30:00,98.0000
09063000,39.508333,-106.366111,1997-06-02 01:00:00,1997-06-09 12:30:00,15.0929,1997-06-05 03:00:00,74.0000
09063000,39.508333,-106.366111,2003-05-30 01:15:00,2003-05-30 04:30:00,11.1852,2003-05-30 03:45:00,2.5000
09063000,39.508333,-106.366111,2003-06-01 18:30:00,2003-06-02 05:45:00,11.7798,2003-06-01 22:00:00,3.5000
09063000,39.508333,-106.366111,2008-05-31 05:00:00,2008-06-09 05:15:00,16.0840,2008-06-03 03:15:00,70.2500
09063000,39.508333,-106.366111,2008-06-11 02:30:00,2008-06-11 17:30:00,11.9214,2008-06-11 05:00:00,2.5000
09063000,39.508333,-106.366111,2008-06-17 05:15:00,2008-06-21 09:00:00,12.4877,2008-06-19 04:45:00,47.5000
09063000,39.508333,-106.366111,2011-06-05 05:45:00,2011-06-20 15:15:00,16.3105,2011-06-07 05:30:00,47.7500
09063000,39.508333,-106.366111,2014-05-29 04:30:00,2014-06-09 00:00:00,16.3105,2014-06-01 05:00:00,72.5000
09063000,39.508333,-106.366111,2015-06-12 03:00:00,2015-06-12 09:15:00,11.7515,2015-06-12 05:30:00,2.5000
09063000,39.508333,-106.366111,2015-06-14 01:30:00,2015-06-14 11:15:00,11.5816,2015-06-14 03:45:00,2.2500
09063000,39.508333,-106.366111,2015-06-17 05:45:00,2015-06-18 05:30:00,12.0063,2015-06-17 09:15:00,3.5000
09146200,38.183889,-107.745278,1995-06-15 05:00:00,1995-06-18 06:15:00,51.8198,1995-06-16 05:45:00,24.7500
09146200,38.183889,-107.745278,1995-07-10 05:15:00,1995-07-10 07:30:00,39.0772,1995-07-10 06:15:00,1.0000
09146200,38.183889,-107.745278,1997-06-02 02:00:00,1997-06-02 15:15:00,51.2535,1997-06-02 05:15:00,3.2500
09146200,38.183889,-107.745278,1997-06-05 01:45:00,1997-06-06 08:30:00,46.4396,1997-06-05 04:45:00,3.0000
09146200,38.183889,-107.745278,2003-05-29 03:00:00,2003-05-30 07:30:00,41.9089,2003-05-30 05:45:00,26.7500
