GaugeID, Lat, Lon, Start Time (UTC), End Time (UTC), Peak Q (cms), Peak Time (UTC), Delta Time (h)
05550000,42.166389,-88.290278,1986-09-25 11:45:00,1986-10-18 04:00:00,174.7149,1986-10-03 11:15:00,191.5000
05550000,42.166389,-88.290278,1991-04-17 12:15:00,1991-04-19 01:45:00,95.9941,1991-04-17 22:45:00,10.5000
05550000,42.166389,-88.290278,1993-07-01 00:15:00,1993-07-06 22:00:00,107.6040,1993-07-03 15:00:00,62.7500
05550000,42.166389,-88.290278,1993-07-18 20:15:00,1993-07-20 15:30:00,99.1090,1993-07-18 20:30:00,0.2500
05550000,42.166389,-88.290278,1994-03-02 06:00:00,1994-03-13 05:15:00,110.7189,1994-03-07 08:00:00,122.0000
05550000,42.166389,-88.290278,1996-05-21 01:15:00,1996-05-30 22:00:00,129.4080,1996-05-23 15:30:00,62.2500
05550000,42.166389,-88.290278,1996-06-08 18:45:00,1996-06-14 23:45:00,101.9406,1996-06-11 02:30:00,55.7500
05550000,42.166389,-88.290278,1996-06-18 20:15:00,1996-06-26 07:45:00,100.5248,1996-06-24 18:00:00,141.7500
05550000,42.166389,-88.290278,1997-02-22 23:45:00,1997-03-06 13:15:00,100.5248,1997-02-24 19:15:00,43.5000
05550000,42.166389,-88.290278,1999-04-23 21:30:00,1999-05-04 07:00:00,119.2139,1999-04-28 18:15:00,116.7500
05550000,42.166389,-88.290278,1999-06-14 07:15:00,1999-06-25 07:30:00,133.3723,1999-06-18 02:45:00,91.5000
05550000,42.166389,-88.290278,2000-05-20 22:15:00,2000-05-30 09:45:00,107.3208,2000-05-24 00:15:00,74.0000
05550000,42.166389,-88.290278,2001-02-16 14:45:00,2001-02-18 12:00:00,99.6753,2001-02-17 03:15:00,12.5000
05550000,42.166389,-88.290278,2001-06-15 17:45:00,2001-06-18 21:45:00,98.2595,2001-06-17 03:30:00,33.7500
05550000,42.166389,-88.290278,2001-10-25 17:45:00,2001-10-30 07:15:00,112.1347,2001-10-27 15:00:00,45.2500
05550000,42.166389,-88.290278,2002-06-05 18:15:00,2002-06-11 04:30:00,107.3208,2002-06-07 04:30:00,34.2500
05550000,42.166389,-88.290278,2004-05-17 23:00:00,2004-05-25 04:45:00,190.2892,2004-05-22 22:00:00,119.0000
05550000,42.166389,-88.290278,2007-08-20 10:30:00,2007-09-06 01:30:00,190.2892,2007-08-25 18:00:00,127.5000
05550000,42.166389,-88.290278,2008-04-10 05:00:00,2008-04-16 04:45:00,165.6536,2008-04-14 22:30:00,113.5000
05550000,42.166389,-88.290278,2008-07-12 19:30:00,2008-07-17 04:45:00,105.9050,2008-07-12 19:45:00,0.2500
05550000,42.166389,-88.290278,2008-07-18 05:00:00,2008-07-18 18:30:00,95.9941,2008-07-18 16:15:00,11.2500
05550000,42.166389,-88.290278,2008-09-15 05:00:00,2008-09-16 13:00:00,95.9941,2008-09-15 12:45:00,7.7500
05550000,42.166389,-88.290278,2008-12-30 06:00:00,2009-01-09 14:15:00,150.9288,2008-12-31 09:45:00,27.7500
05550000,42.166389,-88.290278,2009-03-09 18:15:00,2009-03-20 20:15:00,116.9486,2009-03-12 14:00:00,67.7500
05550000,42.166389,-88.290278,2009-03-23 15:45:00,2009-03-23 16:30:00,105.9050,2009-03-23 16:15:00,0.5000
05550000,42.166389,-88.290278,2009-04-27 15:15:00,2009-05-12 18:30:00,164.5209,2009-05-04 20:15:00,173.0000
05550000,42.166389,-88.290278,2009-06-20 14:00:00,2009-06-29 17:00:00,158.2912,2009-06-22 17:00:00,51.0000
05426250,42.960278,-88.670556,1986-10-01 05:15:00,1986-10-02 04:45:00,11.3834,1986-10-01 06:45:00,1.5000
05426250,42.960278,-88.670556,1995-08-17 01:45:00,1995-08-22 00:30:00,10.7604,1995-08-17 08:30:00,6.7500
05426250,42.960278,-88.670556,1996-06-07 21:15:00,1996-06-13 04:45:00,9.1463,1996-06-11 01:45:00,76.5000
05426250,42.960278,-88.670556,1996-06-18 03:15:00,1996-06-19 23:45:00,8.0420,1996-06-18 20:15:00,17.0000
05426250,42.960278,-88.670556,1998-04-03 22:30:00,1998-04-06 02:00:00,7.8154,1998-04-03 23:45:00,1.2500
05426250,42.960278,-88.670556,1999-04-23 11:45:00,1999-04-29 19:30:00,9.0897,1999-04-24 02:45:00,15.0000
05426250,42.960278,-88.670556,1999-05-18 06:30:00,1999-05-23 05:30:00,8.9481,1999-05-19 08:15:00,25.7500
05426250,42.960278,-88.670556,2000-05-18 23:30:00,2000-05-26 07:15:00,8.7216,2000-05-19 15:30:00,16.0000
05426250,42.960278,-88.670556,2000-05-31 19:45:00,2000-06-09 00:00:00,9.7410,2000-06-01 19:00:00,23.2500
05426250,42.960278,-88.670556,2001-04-10 03:45:00,2001-04-12 17:45:00,7.8154,2001-04-12 14:00:00,58.2500
05426250,42.960278,-88.670556,2002-04-10 18:00:00,2002-04-11 21:45:00,7.9854,2002-04-11 03:45:00,9.7500
05426250,42.960278,-88.670556,2004-05-22 05:30:00,2004-06-07 00:00:00,11.5533,2004-05-23 18:15:00,36.7500
05426250,42.960278,-88.670556,2006-09-13 04:15:00,2006-09-13 12:30:00,8.2119,2006-09-13 07:30:00,3.2500
05426250,42.960278,-88.670556,2007-03-22 09:30:00,2007-03-29 18:15:00,9.3446,2007-03-24 04:00:00,42.5000
05426250,42.960278,-88.670556,2007-04-01 07:45:00,2007-04-01 21:30:00,7.6455,2007-04-01 13:15:00,5.5000
05426250,42.960278,-88.670556,2007-04-03 08:30:00,2007-04-12 18:45:00,10.2507,2007-04-03 19:30:00,11.0000
05426250,42.960278,-88.670556,2007-08-20 00:45:00,2007-08-21 11:30:00,7.8438,2007-08-20 22:30:00,21.7500
05426250,42.960278,-88.670556,2007-08-22 23:45:00,2007-09-02 10:00:00,10.7604,2007-08-23 20:15:00,20.5000
05426250,42.960278,-88.670556,2008-04-25 23:15:00,2008-05-08 01:30:00,9.0614,2008-05-01 00:45:00,121.5000
