GaugeID, Lat, Lon, Start Time (UTC), End Time (UTC), Peak Q (cms), Peak Time (UTC), Delta Time (h)
05085000,48.286111,-97.367500,2009-04-10 14:00:00,2009-04-19 21:45:00,59.1822,2009-04-15 08:15:00,114.2500
05085000,48.286111,-97.367500,2009-06-28 13:00:00,2009-07-02 14:15:00,77.0218,2009-06-30 06:45:00,41.7500
05085000,48.286111,-97.367500,2010-03-20 05:00:00,2010-03-22 08:00:00,74.1901,2010-03-20 16:45:00,11.7500
05085000,48.286111,-97.367500,2013-04-28 22:30:00,2013-04-30 04:45:00,99.9585,2013-04-30 01:15:00,26.7500
05085000,48.286111,-97.367500,2013-05-02 05:00:00,2013-05-04 07:30:00,70.5089,2013-05-02 05:15:00,0.2500
05085000,48.286111,-97.367500,2013-05-21 04:00:00,2013-05-24 06:30:00,59.1822,2013-05-22 23:00:00,43.0000
05085000,48.286111,-97.367500,2013-06-01 00:15:00,2013-06-08 12:00:00,104.2060,2013-06-02 17:15:00,41.0000
05085000,48.286111,-97.367500,2014-04-12 05:00:00,2014-04-12 22:15:00,58.0495,2014-04-12 05:15:00,0.2500
05120500,48.138333,-100.539444,2009-04-17 05:00:00,2009-05-01 04:00:00,62.5802,2009-04-17 17:00:00,12.0000
05120500,48.138333,-100.539444,2010-04-08 04:15:00,2010-04-16 02:15:00,10.5339,2010-04-09 11:45:00,31.5000
05120500,48.138333,-100.539444,2011-04-10 05:00:00,2011-04-15 04:45:00,38.5109,2011-04-12 14:45:00,57.7500
05120500,48.138333,-100.539444,2011-06-01 16:45:00,2011-06-03 10:30:00,8.8349,2011-06-01 23:45:00,7.0000
05120500,48.138333,-100.539444,2011-06-14 19:15:00,2011-06-17 19:45:00,9.5145,2011-06-16 10:45:00,39.5000
05120500,48.138333,-100.539444,2011-06-20 19:00:00,2011-06-22 04:00:00,8.2402,2011-06-20 22:00:00,3.0000
05120500,48.138333,-100.539444,2011-06-24 06:45:00,2011-07-02 23:15:00,9.7976,2011-06-28 11:30:00,100.7500
05120500,48.138333,-100.539444,2013-05-06 04:00:00,2013-05-09 13:15:00,9.5145,2013-05-07 00:45:00,20.7500
05120500,48.138333,-100.539444,2013-06-19 05:00:00,2013-06-26 10:15:00,11.3551,2013-06-20 16:45:00,35.7500
05061000,46.850000,-96.329167,1996-04-12 05:00:00,1996-04-20 04:00:00,38.2277,1996-04-13 07:30:00,26.5000
05061000,46.850000,-96.329167,1998-02-25 17:15:00,1998-03-04 16:45:00,24.3808,1998-02-28 17:45:00,72.5000
05061000,46.850000,-96.329167,1998-06-20 15:30:00,1998-06-24 04:30:00,17.6980,1998-06-22 14:00:00,46.5000
05061000,46.850000,-96.329167,1998-06-30 05:00:00,1998-07-12 03:30:00,40.2099,1998-07-01 06:30:00,25.5000
05061000,46.850000,-96.329167,1999-03-30 07:30:00,1999-04-01 08:00:00,16.9335,1999-03-31 02:00:00,18.5000
05061000,46.850000,-96.329167,1999-05-14 05:00:00,1999-05-20 00:45:00,22.6252,1999-05-14 17:45:00,12.7500
05061000,46.850000,-96.329167,1999-09-05 20:15:00,1999-09-06 17:15:00,15.7442,1999-09-06 04:15:00,8.0000
05061000,46.850000,-96.329167,2000-06-20 11:30:00,2000-07-05 13:30:00,62.2971,2000-06-23 03:00:00,63.5000
05061000,46.850000,-96.329167,2000-11-08 15:30:00,2000-11-12 05:30:00,17.1317,2000-11-10 07:00:00,39.5000
05061000,46.850000,-96.329167,2001-04-05 01:00:00,2001-04-22 14:00:00,51.5367,2001-04-08 22:00:00,93.0000
05061000,46.850000,-96.329167,2001-04-25 11:00:00,2001-05-01 03:00:00,23.5313,2001-04-27 19:30:00,56.5000
05061000,46.850000,-96.329167,2002-06-26 16:30:00,2002-06-27 20:30:00,15.5743,2002-06-27 04:30:00,12.0000
05061000,46.850000,-96.329167,2002-07-10 16:00:00,2002-07-14 00:00:00,27.2691,2002-07-11 14:30:00,22.5000
05061000,46.850000,-96.329167,2002-07-26 01:56:00,2002-07-27 15:30:00,18.7458,2002-07-27 02:26:00,24.5000
05061000,46.850000,-96.329167,2004-03-30 06:00:00,2004-03-31 20:00:00,18.3776,2004-03-30 08:00:00,2.0000
05061000,46.850000,-96.329167,2005-03-30 23:30:00,2005-04-03 12:30:00,18.6325,2005-04-01 05:00:00,29.5000
05061000,46.850000,-96.329167,2006-03-29 22:30:00,2006-04-14 05:00:00,65.4119,2006-04-01 13:00:00,62.5000
05061000,46.850000,-96.329167,2007-06-17 12:30:00,2007-06-22 19:30:00,23.9277,2007-06-18 16:00:00,27.5000
05061000,46.850000,-96.329167,2008-06-07 07:30:00,2008-06-10 11:00:00,17.9246,2008-06-08 18:30:00,35.0000
05061000,46.850000,-96.329167,2008-10-13 20:30:00,2008-10-15 16:30:00,16.1689,2008-10-14 12:30:00,16.0000
