GaugeID, Lat, Lon, Start Time (UTC), End Time (UTC), Peak Q (cms), Peak Time (UTC), Delta Time (h)
01467000,39.970000,-74.684444,1982-04-28 09:30:00,1982-04-29 04:30:00,13.4222,1982-04-28 13:15:00,3.7500
01467000,39.970000,-74.684444,1983-03-21 16:00:00,1983-03-23 12:30:00,17.3865,1983-03-22 07:30:00,15.5000
01467000,39.970000,-74.684444,1983-03-28 11:15:00,1983-03-29 20:30:00,14.2434,1983-03-28 19:15:00,8.0000
01467000,39.970000,-74.684444,1983-04-04 00:45:00,1983-04-06 08:15:00,14.6398,1983-04-05 02:00:00,25.2500
01467000,39.970000,-74.684444,1983-04-10 16:00:00,1983-04-14 19:45:00,20.9828,1983-04-11 19:15:00,27.2500
01467000,39.970000,-74.684444,1983-04-16 10:30:00,1983-04-22 20:45:00,21.9456,1983-04-17 16:45:00,30.2500
01467000,39.970000,-74.684444,1983-04-24 12:00:00,1983-04-27 14:00:00,16.9901,1983-04-25 16:45:00,28.7500
01467000,39.970000,-74.684444,1983-05-22 20:15:00,1983-05-25 21:45:00,15.4327,1983-05-24 21:30:00,49.2500
01467000,39.970000,-74.684444,1983-06-22 05:00:00,1983-06-23 19:30:00,14.8380,1983-06-22 20:15:00,15.2500
01467000,39.970000,-74.684444,1983-11-25 17:45:00,1983-11-28 03:30:00,14.6398,1983-11-26 22:45:00,29.0000
01467000,39.970000,-74.684444,1983-12-05 04:15:00,1983-12-06 09:45:00,13.4222,1983-12-05 17:15:00,13.0000
01467000,39.970000,-74.684444,1983-12-13 21:15:00,1983-12-17 01:00:00,18.5759,1983-12-15 09:00:00,35.7500
01467000,39.970000,-74.684444,1984-03-14 04:00:00,1984-03-20 04:00:00,20.7846,1984-03-16 02:15:00,46.2500
01467000,39.970000,-74.684444,1984-03-28 21:00:00,1984-04-03 10:45:00,27.2974,1984-03-31 01:15:00,52.2500
01467000,39.970000,-74.684444,1984-04-05 08:15:00,1984-04-10 13:15:00,23.7578,1984-04-07 00:15:00,40.0000
01467000,39.970000,-74.684444,1984-04-17 04:00:00,1984-04-23 10:30:00,17.1883,1984-04-20 01:00:00,69.0000
01467000,39.970000,-74.684444,1984-05-30 03:00:00,1984-06-05 06:15:00,37.9446,1984-06-01 10:45:00,55.7500
01467000,39.970000,-74.684444,1987-01-03 21:45:00,1987-01-05 04:45:00,13.6204,1987-01-04 05:00:00,7.2500
01467000,39.970000,-74.684444,1987-03-03 17:45:00,1987-03-04 14:30:00,13.2240,1987-03-03 21:45:00,4.0000
01467000,39.970000,-74.684444,1987-04-04 11:00:00,1987-04-08 03:45:00,22.7384,1987-04-04 17:15:00,6.2500
01467000,39.970000,-74.684444,1987-06-23 00:15:00,1987-06-23 03:45:00,16.2256,1987-06-23 01:15:00,1.0000
01467000,39.970000,-74.684444,1987-08-10 06:45:00,1987-08-13 11:15:00,20.9828,1987-08-11 18:30:00,35.7500
01467000,39.970000,-74.684444,1989-05-07 01:30:00,1989-05-08 14:45:00,14.0735,1989-05-07 11:30:00,10.0000
01467000,39.970000,-74.684444,1989-05-10 16:00:00,1989-05-14 22:15:00,21.9456,1989-05-12 10:45:00,42.7500
01467000,39.970000,-74.684444,1989-05-17 20:45:00,1989-05-19 12:30:00,13.8753,1989-05-18 09:00:00,12.2500
01467000,39.970000,-74.684444,1989-07-05 15:00:00,1989-07-08 12:30:00,22.7384,1989-07-06 18:45:00,27.7500
01467000,39.970000,-74.684444,1989-07-20 22:00:00,1989-07-21 04:30:00,17.8396,1989-07-20 23:30:00,1.5000
01467000,39.970000,-74.684444,1989-09-19 19:00:00,1989-09-24 10:45:00,28.6000,1989-09-21 02:00:00,31.0000
01467000,39.970000,-74.684444,1989-10-21 11:45:00,1989-10-23 20:15:00,15.8574,1989-10-22 05:30:00,17.7500
01467000,39.970000,-74.684444,1990-05-31 03:45:00,1990-05-31 22:00:00,13.6770,1990-05-31 10:00:00,6.2500
01467000,39.970000,-74.684444,1990-08-07 20:00:00,1990-08-14 15:30:00,21.9456,1990-08-11 17:15:00,93.2500
01467000,39.970000,-74.684444,1991-01-12 04:45:00,1991-01-19 11:45:00,22.1438,1991-01-13 22:15:00,41.5000
01467000,39.970000,-74.684444,1991-03-05 15:00:00,1991-03-06 17:00:00,13.6770,1991-03-05 22:15:00,7.2500
01467000,39.970000,-74.684444,1992-08-18 13:00:00,1992-08-21 10:00:00,16.7069,1992-08-19 20:30:00,31.5000
01467000,39.970000,-74.684444,1992-12-11 15:00:00,1992-12-16 17:15:00,27.4957,1992-12-13 17:45:00,50.7500
01467000,39.970000,-74.684444,1993-03-07 04:45:00,1993-03-08 20:15:00,13.6770,1993-03-07 15:45:00,11.0000
01467000,39.970000,-74.684444,1993-03-18 04:00:00,1993-03-22 18:15:00,16.2822,1993-03-19 16:00:00,36.0000
01467000,39.970000,-74.684444,1993-03-25 17:15:00,1993-03-27 20:45:00,13.6770,1993-03-26 07:15:00,14.0000
01467000,39.970000,-74.684444,1993-03-29 17:45:00,1993-04-05 03:45:00,20.5863,1993-04-02 23:45:00,102.0000
01467000,39.970000,-74.684444,1994-01-28 18:00:00,1994-01-31 13:30:00,18.0661,1994-01-30 00:00:00,30.0000
01467000,39.970000,-74.684444,1994-02-24 01:00:00,1994-02-27 15:45:00,18.9723,1994-02-25 10:45:00,33.7500
01467000,39.970000,-74.684444,1994-03-03 21:00:00,1994-03-14 16:15:00,20.9545,1994-03-11 19:00:00,190.0000
01467000,39.970000,-74.684444,1994-03-29 09:15:00,1994-04-02 23:30:00,21.5491,1994-03-30 15:45:00,30.5000
01467000,39.970000,-74.684444,1996-01-19 19:30:00,1996-01-22 18:15:00,21.1527,1996-01-21 01:45:00,30.2500
01467000,39.970000,-74.684444,1996-06-19 21:15:00,1996-06-21 01:30:00,16.9335,1996-06-19 22:30:00,1.2500
01467000,39.970000,-74.684444,1996-06-23 09:00:00,1996-06-25 01:00:00,14.8380,1996-06-24 10:45:00,25.7500
01467000,39.970000,-74.684444,1996-07-14 03:45:00,1996-07-18 06:15:00,18.9723,1996-07-16 14:30:00,58.7500
