GaugeID, Lat, Lon, Start Time (UTC), End Time (UTC), Peak Q (cms), Peak Time (UTC), Delta Time (h)
04097540,41.888333,-85.409444,1989-10-21 18:00:00,1989-10-26 08:00:00,1.9539,1989-10-23 20:00:00,50.0000
04097540,41.888333,-85.409444,1989-11-08 19:00:00,1989-11-13 13:00:00,1.9539,1989-11-10 02:00:00,31.0000
04097540,41.888333,-85.409444,1989-11-14 20:00:00,1989-12-10 00:00:00,2.9450,1989-11-18 00:00:00,76.0000
04097540,41.888333,-85.409444,1989-12-15 03:00:00,1989-12-15 04:00:00,2.1238,1989-12-15 04:00:00,1.0000
04097540,41.888333,-85.409444,1990-08-14 06:00:00,1990-08-28 04:00:00,2.1804,1990-08-15 14:00:00,32.0000
04097540,41.888333,-85.409444,1990-09-22 08:00:00,1990-09-26 19:00:00,2.0671,1990-09-23 20:00:00,36.0000
04097540,41.888333,-85.409444,1990-12-28 05:00:00,1991-01-01 04:00:00,14.4416,1991-01-01 04:00:00,95.0000
04097540,41.888333,-85.409444,1991-01-24 05:00:00,1991-01-25 04:00:00,5.4085,1991-01-24 15:00:00,10.0000
04097540,41.888333,-85.409444,1991-01-26 05:00:00,1991-01-27 04:00:00,4.6723,1991-01-26 14:00:00,9.0000
04097540,41.888333,-85.409444,1991-01-28 05:00:00,1991-02-01 04:00:00,4.9554,1991-01-28 15:00:00,10.0000
04097540,41.888333,-85.409444,1991-07-01 23:00:00,1991-07-12 00:00:00,6.0598,1991-07-03 22:00:00,47.0000
04097540,41.888333,-85.409444,1991-08-08 23:00:00,1991-08-12 09:00:00,2.1238,1991-08-10 09:00:00,34.0000
04097540,41.888333,-85.409444,1991-08-20 12:00:00,1991-08-22 18:00:00,1.9255,1991-08-21 03:00:00,15.0000
04097540,41.888333,-85.409444,1991-10-04 09:00:00,1991-10-11 06:00:00,2.3503,1991-10-06 02:00:00,41.0000
04097540,41.888333,-85.409444,1991-10-24 17:00:00,1991-10-26 04:00:00,2.9166,1991-10-26 04:00:00,35.0000
04097540,41.888333,-85.409444,1991-10-28 05:00:00,1992-01-16 04:00:00,5.2386,1991-10-28 12:00:00,7.0000
04097540,41.888333,-85.409444,1992-01-17 05:00:00,1992-01-18 04:00:00,3.1715,1992-01-17 06:00:00,1.0000
04097540,41.888333,-85.409444,1992-01-22 05:00:00,1992-01-25 04:00:00,3.1432,1992-01-24 22:00:00,65.0000
04097540,41.888333,-85.409444,1992-05-30 07:00:00,1992-06-11 15:00:00,2.6335,1992-06-01 05:00:00,46.0000
04097540,41.888333,-85.409444,1992-06-18 12:00:00,1992-06-23 06:00:00,2.0954,1992-06-20 02:00:00,38.0000
04097540,41.888333,-85.409444,1992-12-30 05:00:00,1993-01-18 04:00:00,12.6859,1993-01-07 03:00:00,190.0000
04097540,41.888333,-85.409444,1993-01-21 05:00:00,1993-01-26 04:00:00,6.8527,1993-01-24 12:00:00,79.0000
04097540,41.888333,-85.409444,1994-01-01 05:00:00,1994-01-06 04:00:00,2.6051,1994-01-02 01:00:00,20.0000
04097540,41.888333,-85.409444,1994-01-28 05:00:00,1994-01-31 04:00:00,5.6634,1994-01-30 11:00:00,54.0000
04097540,41.888333,-85.409444,1994-02-18 05:00:00,1994-02-26 04:00:00,6.3996,1994-02-22 00:00:00,91.0000
04097540,41.888333,-85.409444,1994-03-01 05:00:00,1994-06-02 18:00:00,5.1537,1994-03-08 20:00:00,183.0000
04097540,41.888333,-85.409444,1994-06-25 07:00:00,1994-07-02 08:00:00,2.6335,1994-06-26 19:00:00,36.0000
04097540,41.888333,-85.409444,1994-11-06 03:00:00,1994-11-16 15:00:00,2.3220,1994-11-10 02:00:00,95.0000
04097540,41.888333,-85.409444,1995-06-28 02:00:00,1995-07-07 20:00:00,2.2937,1995-06-30 19:00:00,65.0000
04097540,41.888333,-85.409444,1995-08-03 21:00:00,1995-08-10 14:00:00,2.7467,1995-08-05 15:00:00,42.0000
04097540,41.888333,-85.409444,1995-08-17 22:00:00,1995-08-27 16:00:00,3.2281,1995-08-20 05:00:00,55.0000
04097540,41.888333,-85.409444,1995-12-11 05:00:00,1995-12-26 04:00:00,2.8600,1995-12-15 22:00:00,113.0000
04097540,41.888333,-85.409444,1996-01-23 05:00:00,1996-01-30 04:00:00,3.0299,1996-01-24 08:00:00,27.0000
04097540,41.888333,-85.409444,1996-02-08 05:00:00,1996-02-18 04:00:00,2.6051,1996-02-10 21:00:00,64.0000
04097540,41.888333,-85.409444,1996-07-30 11:00:00,1996-08-04 00:00:00,2.0954,1996-07-31 22:00:00,35.0000
04097540,41.888333,-85.409444,1996-11-07 09:00:00,1996-12-19 04:00:00,3.9360,1996-11-10 00:00:00,63.0000
04097540,41.888333,-85.409444,1996-12-22 05:00:00,1996-12-25 04:00:00,3.9360,1996-12-25 03:00:00,70.0000
04097540,41.888333,-85.409444,1997-01-14 05:00:00,1997-01-17 04:00:00,3.3697,1997-01-16 03:00:00,46.0000
04097540,41.888333,-85.409444,1997-01-19 05:00:00,1997-01-26 04:00:00,4.4741,1997-01-24 22:00:00,137.0000
04097540,41.888333,-85.409444,1998-08-07 23:00:00,1998-08-13 18:00:00,2.2937,1998-08-09 12:00:00,37.0000
04097540,41.888333,-85.409444,1998-08-25 07:00:00,1998-09-04 08:00:00,3.1715,1998-08-27 09:00:00,50.0000
